REPORT_DATE,AGE_GROUP,ENGAGEMENT_CATEGORY,CITYWIDE_COUNT
10/12/2023,21-24 Years,WELLNESS/REHAB PROGRAM,1
10/12/2023,21-24 Years,WECARE VOCATIONAL REHABILITAT,21
10/12/2023,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,241
10/12/2023,21-24 Years,WECARE & SUBSTANCE ABUSE,1
10/12/2023,21-24 Years,UNENGAGED,11
10/12/2023,21-24 Years,UNDERCARE AWAITING SCHEDULING,778
10/12/2023,21-24 Years,TEMPORARILY EXEMPT,155
10/12/2023,21-24 Years,TEMP. INCAPACITATED - HEALTH,187
10/12/2023,21-24 Years,SUBSTANCE ABUSE TREATMENT,7
10/12/2023,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,32
10/12/2023,21-24 Years,SSI PENDING/APPEALING,8
10/12/2023,21-24 Years,SANCTION IN EFFECT,1
10/12/2023,21-24 Years,RECEIVING SSI,41
10/12/2023,21-24 Years,PENDING CASAC SCHEDULING/OUT,1
10/12/2023,21-24 Years,NEEDED AT HOME,3
10/12/2023,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,9485
10/12/2023,21-24 Years,FAIR HEARING (NOT CONTESTING),2
10/12/2023,21-24 Years,FAIR HEARING (CONTESTING),1
10/12/2023,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,108
10/12/2023,21-24 Years,EMPLOYMENT-BUDGETED,1123
10/12/2023,21-24 Years,EMPLOYMENT- GRANT DIVERSION,110
10/12/2023,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,35
10/12/2023,21-24 Years,EDUCATION/TRAINING,246
10/12/2023,21-24 Years,DASIS CASES,331
10/12/2023,21-24 Years,CHILD UNDER 3 MONTHS,2
10/12/2023,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,84
10/12/2023,21-24 Years,AWAITING CONCILIATION SCHED.,13
10/12/2023,21-24 Years,ASSIGNED JOB SEARCH,81
10/12/2023,21-24 Years,ACTIVE SINGLE ISSUE CASES,563
10/12/2023,18-20 Years,WECARE VOCATIONAL REHABILITAT,2
10/12/2023,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,25
10/12/2023,18-20 Years,UNENGAGED,2
10/12/2023,18-20 Years,UNDERCARE AWAITING SCHEDULING,147
10/12/2023,18-20 Years,TEMPORARILY EXEMPT,26
10/12/2023,18-20 Years,TEMP. INCAPACITATED - HEALTH,49
10/12/2023,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
10/12/2023,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,13
10/12/2023,18-20 Years,STUDENT OVER AGE 15,7
10/12/2023,18-20 Years,RECEIVING SSI,11
10/12/2023,18-20 Years,NULL PIW STATUS,1
10/12/2023,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1723
10/12/2023,18-20 Years,FAIR HEARING (NOT CONTESTING),1
10/12/2023,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,13
10/12/2023,18-20 Years,EMPLOYMENT-BUDGETED,149
10/12/2023,18-20 Years,EMPLOYMENT- GRANT DIVERSION,10
10/12/2023,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,1
10/12/2023,18-20 Years,EDUCATION/TRAINING,26
